STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW_WATERS,THRESHOLD_FLOOD_ALERT,THRESHOLD_EVACUATION,THRESHOLD_ene_mean,THRESHOLD_ene_p01,THRESHOLD_ene_p10,THRESHOLD_ene_p50,THRESHOLD_ene_p90,THRESHOLD_ene_p99,THRESHOLD_feb_mean,THRESHOLD_feb_p01,THRESHOLD_feb_p10,THRESHOLD_feb_p50,THRESHOLD_feb_p90,THRESHOLD_feb_p99,THRESHOLD_mar_mean,THRESHOLD_mar_p01,THRESHOLD_mar_p10,THRESHOLD_mar_p50,THRESHOLD_mar_p90,THRESHOLD_mar_p99,THRESHOLD_apr_mean,THRESHOLD_apr_p01,THRESHOLD_apr_p10,THRESHOLD_apr_p50,THRESHOLD_apr_p90,THRESHOLD_apr_p99,THRESHOLD_may_mean,THRESHOLD_may_p01,THRESHOLD_may_p10,THRESHOLD_may_p50,THRESHOLD_may_p90,THRESHOLD_may_p99,THRESHOLD_jun_mean,THRESHOLD_jun_p01,THRESHOLD_jun_p10,THRESHOLD_jun_p50,THRESHOLD_jun_p90,THRESHOLD_jun_p99,THRESHOLD_jul_mean,THRESHOLD_jul_p01,THRESHOLD_jul_p10,THRESHOLD_jul_p50,THRESHOLD_jul_p90,THRESHOLD_jul_p99,THRESHOLD_aug_mean,THRESHOLD_aug_p01,THRESHOLD_aug_p10,THRESHOLD_aug_p50,THRESHOLD_aug_p90,THRESHOLD_aug_p99,THRESHOLD_sep_mean,THRESHOLD_sep_p01,THRESHOLD_sep_p10,THRESHOLD_sep_p50,THRESHOLD_sep_p90,THRESHOLD_sep_p99,THRESHOLD_oct_mean,THRESHOLD_oct_p01,THRESHOLD_oct_p10,THRESHOLD_oct_p50,THRESHOLD_oct_p90,THRESHOLD_oct_p99,THRESHOLD_nov_mean,THRESHOLD_nov_p01,THRESHOLD_nov_p10,THRESHOLD_nov_p50,THRESHOLD_nov_p90,THRESHOLD_nov_p99,THRESHOLD_dec_mean,THRESHOLD_dec_p01,THRESHOLD_dec_p10,THRESHOLD_dec_p50,THRESHOLD_dec_p90,THRESHOLD_dec_p99
8,8,39,24.0,m,INA,0.2,10.5,13.5,1.034,-0.098,0.24,0.91,1.786,4.105,1.197,-0.058,0.32,1.06,2.284,3.978,1.028,-0.099,0.2,0.98,1.8,2.834,0.977,-0.14,0.04,0.82,1.7,6.454,0.944,-0.34,0.04,0.78,2.0,4.256,1.112,-0.2,0.202,0.9,2.018,5.938,1.156,-0.05,0.4,1.0,2.0,4.025,1.124,0.02,0.38,0.97,1.86,4.688,1.209,0.08,0.42,1.0,2.38,4.343,1.655,0.048,0.47,1.32,3.544,5.785,1.31,-0.24,0.3,1.26,2.36,3.873,1.074,-0.02,0.372,0.94,1.8,3.86
9,9,39,24.0,m,INA,10.0,25.0,28.0,14.507,4.85,10.2,13.8,20.2,26.9,15.78,4.2,11.0,15.2,22.9,30.59,14.713,6.263,10.2,14.3,20.0,25.5,13.519,4.855,9.291,13.0,18.28,27.989,12.719,4.66,9.6,12.3,16.3,23.68,13.123,3.708,9.4,12.5,17.76,28.59,12.697,3.8,9.0,12.4,16.7,22.642,12.254,4.278,9.0,11.8,15.58,23.718,12.34,6.944,9.0,11.9,16.46,21.904,14.436,8.246,10.502,13.4,19.78,27.809,14.038,7.944,10.23,13.6,18.5,23.9,13.826,5.8,10.054,13.0,19.3,25.4
10,10,39,24.0,m,INA,9.8,29.0,31.0,14.307,4.9,9.51,14.0,20.66,25.613,15.15,4.878,10.78,15.0,21.61,26.405,14.644,6.2,9.59,14.125,20.8,25.487,13.535,5.5,7.64,12.9,19.365,26.243,12.361,4.9,9.02,12.2,16.0,22.768,13.338,3.7,8.31,12.8,19.17,29.847,13.023,3.796,8.6,13.1,17.3,23.52,12.566,3.9,8.8,12.6,15.9,23.315,12.282,7.525,9.15,12.0,16.25,21.928,14.588,7.834,10.5,14.05,19.8,27.299,14.218,8.1,9.55,13.9,18.4,23.7,14.035,5.9,9.5,13.2,20.22,25.0
11,11,39,24.0,m,INA,8.63,23.0,25.0,11.857,5.3,7.1,11.4,17.224,20.3,12.781,5.218,8.608,12.3,17.3,23.541,11.963,6.1,7.809,11.605,16.345,19.945,11.478,6.4,8.2,10.7,15.37,21.547,10.429,6.424,7.795,10.0,13.255,19.888,11.173,6.809,7.791,10.4,15.365,24.208,11.001,7.007,8.17,10.6,14.0,19.444,10.387,5.805,7.625,10.2,13.65,18.292,9.798,6.104,7.0,9.6,12.97,16.547,11.808,7.0,8.725,11.2,16.3,21.098,11.311,6.556,8.005,11.15,14.68,17.929,11.08,6.018,7.5,10.6,15.625,19.721
12,12,39,24.0,m,INA,6.76,14.5,15.5,8.471,4.417,5.535,8.48,11.92,15.0,9.026,5.112,5.82,8.86,12.48,17.396,8.646,5.528,6.19,8.35,11.8,14.918,8.184,5.199,5.938,7.9,10.941,15.761,7.51,4.609,5.33,7.5,9.815,13.267,7.799,4.749,5.387,7.305,10.606,18.156,7.663,4.948,5.45,7.14,10.1,14.232,7.501,4.333,5.212,7.3,9.616,13.678,7.302,4.15,5.276,7.15,9.538,11.921,8.5,4.95,5.896,8.3,11.282,15.582,8.241,5.095,5.882,8.27,10.518,13.7,8.186,5.0,5.6,8.18,11.19,14.943
13,13,39,24.0,m,INA,7.36,9.3,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,39,24.0,m,INA,9.8,11.0,12.0,6.558,2.83,3.172,4.92,10.32,10.442,6.789,2.181,3.4,5.22,10.34,10.489,6.666,2.89,3.201,5.095,10.32,10.519,6.639,2.88,3.1,5.265,10.28,10.419,6.404,2.6,3.0,5.07,10.24,10.402,6.427,2.62,2.972,5.16,10.31,10.442,6.44,2.67,2.998,5.27,10.32,10.45,6.443,2.758,2.942,5.25,10.28,10.38,6.496,2.798,2.972,5.28,10.26,10.392,6.816,2.9,3.25,5.42,10.28,10.434,6.669,2.762,3.19,5.35,10.28,10.4,6.665,2.838,3.06,5.23,10.3,10.452
15,15,39,24.0,m,INA,0.7,3.5,4.0,1.779,-0.05,1.0,1.795,2.46,3.827,1.975,0.01,1.2,1.86,3.1,4.934,1.815,0.35,0.95,1.8,2.63,3.718,1.749,0.15,0.95,1.7,2.336,4.49,1.613,0.1,0.94,1.6,2.3,3.912,1.617,0.01,0.88,1.65,2.169,4.049,1.525,-0.1,0.848,1.62,2.08,3.262,1.419,0.05,0.6,1.5,2.0,3.232,1.423,0.4,0.7,1.45,2.082,2.908,1.808,0.6,1.1,1.7,2.56,4.284,1.74,0.45,0.9,1.7,2.465,3.25,1.75,0.35,0.822,1.75,2.398,3.802
16,16,39,24.0,m,INA,1.5,7.0,7.5,2.68,0.07,1.535,2.5,4.22,5.754,3.042,0.175,1.7,3.0,4.84,6.582,2.818,0.594,1.52,2.705,4.385,5.705,2.577,0.55,1.45,2.42,3.98,6.25,2.315,0.25,1.4,2.145,3.52,5.861,2.385,0.1,1.442,2.22,3.736,5.701,2.292,0.061,1.255,2.1,3.56,5.407,2.098,0.15,1.164,1.97,3.15,4.796,2.022,0.587,1.1,1.9,3.108,4.569,2.683,0.8,1.5,2.46,4.22,5.965,2.663,0.755,1.359,2.6,4.134,4.959,2.565,0.527,1.29,2.4,4.196,5.841
17,17,39,24.0,m,INA,2.7,6.8,7.5,3.823,0.816,2.48,3.68,5.474,7.482,4.359,0.9,2.81,4.205,6.385,8.127,4.127,1.381,2.6,4.02,6.127,7.408,3.86,1.44,2.58,3.67,5.48,7.906,3.639,1.085,2.45,3.52,4.99,8.153,3.658,0.83,2.58,3.52,5.06,7.053,3.516,0.757,2.42,3.375,4.86,7.376,3.224,0.856,2.13,3.15,4.432,6.032,3.17,1.548,2.18,3.04,4.45,6.126,3.842,1.816,2.492,3.58,5.592,7.445,3.903,1.68,2.416,3.75,5.48,6.56,3.792,1.533,2.414,3.55,5.613,7.594
