STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
8,8,2,,m,INA,0.2,10.5,13.5,True,0.187950819954683,0.997759556835466,2.89281693508065,-25.5833333333333,-53.9833333333333,,Conventional,Argentina,INA,Rio Parana
9,9,2,,m,INA,10.0,25.0,28.0,True,8.64819671547478,13.2965683181429,22.6730055053377,-25.5833333333333,-54.5666666666667,,Conventional,Argentina,INA,Rio Parana
10,10,2,,m,INA,9.8,29.0,31.0,True,8.06252733605807,13.2996092806748,22.4996064764554,-25.916679,-54.621134,,Conventional,Argentina,INA,Rio Parana
11,11,2,,m,INA,8.63,23.0,25.0,True,5.77587433721198,10.2371065499353,17.6383496529418,-26.3833333333333,-54.7,,Conventional,Argentina,INA,Rio Parana
12,12,2,,m,INA,6.76,14.5,15.5,True,3.97051913165004,7.32535519365404,12.736316957109,-26.8,-55.0333333333333,,Conventional,Argentina,INA,Rio Parana
13,13,2,,m,INA,7.36,9.3,9.8,True,2.92090165484798,7.72992899639359,9.02363116363359,-27.33509,-55.588412,,Conventional,Argentina,INA,Rio Parana
14,14,2,,m,INA,9.8,11.0,12.0,True,1.16077868583424,3.27274590502671,10.3098087519244,-27.3666666666667,-55.8833333333333,,Conventional,Argentina,INA,Rio Parana
15,15,2,,m,INA,0.7,3.5,4.0,True,0.968688521717415,1.72128687660551,3.32074589286346,-27.5833333333333,-56.7,,Conventional,Argentina,INA,Rio Parana
16,16,2,,m,INA,1.5,7.0,7.5,True,1.16896174774795,2.41128414901879,4.82047814358779,-27.42336098,-57.33326783,,Conventional,Argentina,INA,Rio Parana
17,17,2,,m,INA,2.7,6.8,7.5,True,2.34924861739893,3.74497813865787,6.49950275004236,-27.26677773,-58.24407387,,Conventional,Argentina,INA,Rio Parana
18,18,2,,m,INA,3.0,6.5,7.0,True,2.38443989180476,3.76715299731395,6.42301641005636,-27.3333333333333,-58.5833333333333,,Conventional,Argentina,INA,Rio Parana
19,19,2,,m,INA,3.0,6.5,7.0,True,2.38191259167885,3.85454644726925,6.40781692859254,-27.46364349,-58.8388696,,Conventional,Argentina,INA,Rio Parana
20,20,2,,m,INA,3.2,6.0,6.5,True,2.37403551672326,3.80415846871548,6.30468033701996,-27.4833333333333,-58.9333333333333,,Conventional,Argentina,INA,Rio Parana
21,21,2,,m,INA,2.8,6.5,6.7,True,2.23412569168487,3.40888253261483,5.41007376238297,-27.95412346,-58.81852419,,Conventional,Argentina,INA,Rio Parana
22,22,2,,m,INA,3.0,6.0,6.4,True,2.31565574283808,3.77312842027737,5.84060929251499,-28.51840072,-59.05931723,,Conventional,Argentina,INA,Rio Parana
23,23,2,,m,INA,2.6,5.2,5.7,True,2.64128416157811,3.94297266592745,5.57756285328683,-29.14376844,-59.27303952,,Conventional,Argentina,INA,Rio Parana
24,24,2,,m,INA,2.3,5.1,5.3,True,2.5208743243921,3.74360657194273,5.36221583032869,-29.23756092,-59.58115833,,Conventional,Argentina,INA,Rio Parana
25,25,2,,m,INA,2.2,5.0,5.4,True,2.39418032846816,3.76753279420196,5.36786339322075,-30.01924089,-59.53663483,,Conventional,Argentina,INA,Rio Parana
26,26,2,,m,INA,3.2,5.8,6.15,True,2.7656557520882,4.30301638769973,5.87111747720854,-30.73419972,-59.6381167,,Conventional,Argentina,INA,Rio Parana
27,27,2,,m,INA,2.54,6.9,7.25,True,2.76508195804116,4.25236067355005,5.87450818155633,-30.95,-59.7833333333333,,Conventional,Argentina,INA,Rio Parana
28,28,2,,m,INA,2.18,5.5,6.0,True,2.29172130816621,3.76510928628223,5.72415847726207,-31.22650904,-59.99193936,,Conventional,Argentina,INA,Rio Parana
29,29,2,,m,INA,2.3,4.7,5.0,True,1.9050409878538,3.28038797808475,5.12603003861474,-31.7182378629681,-60.5225697750899,,Conventional,Argentina,INA,Rio Parana
30,30,2,,m,INA,2.6,5.3,5.7,True,2.26345627099438,3.67183060398519,5.60894261422705,-31.6514772196376,-60.7002319185745,,Conventional,Argentina,INA,Rio Parana
31,31,2,,m,INA,2.4,5.3,5.5,True,2.21012294259879,3.73662295693257,5.46038798947152,-32.0715615377843,-60.6432219715378,,Conventional,Argentina,INA,Rio Parana
32,32,2,,m,INA,2.6,4.6,5.9,True,2.67653004979827,3.83661750887261,5.74704916490232,-32.6558456373673,-60.2195849446607,,Conventional,Argentina,INA,Rio Parana
33,33,2,,m,INA,2.3,5.2,5.7,True,2.15859289410336,3.81674320319963,5.48333877292487,-32.7336256031375,-60.7256705696322,,Conventional,Argentina,INA,Rio Parana
34,34,2,,m,INA,2.6,5.0,5.25,True,1.95950819690371,3.47319672277065,5.03597814007535,-32.9432699442268,-60.6308206029857,,Conventional,Argentina,INA,Rio Parana
35,35,2,,m,INA,1.9,4.0,4.5,True,1.65139343699471,3.03661475676656,4.73745906027288,-33.2354221667103,-60.3091044341421,,Conventional,Argentina,INA,Rio Parana
36,36,2,,m,INA,1.8,4.2,5.0,True,1.46923497498361,2.67989889194405,4.30365850039519,-33.3420008188866,-60.1895279977149,,Conventional,Argentina,INA,Rio Parana
37,37,2,,m,INA,1.6,3.5,4.0,True,1.24812841936539,2.3767568446248,4.0200601223388,-33.4780656197056,-59.9957013181522,,Conventional,Argentina,INA,Rio Parana
38,38,2,,m,INA,1.5,3.4,3.6,True,0.953101086811941,1.8937786908749,3.44259835722668,-33.6745267329027,-59.6497183332918,,Conventional,Argentina,INA,Rio Parana
39,39,2,,m,INA,1.4,2.7,3.1,True,0.780601092782177,1.68713114105287,3.12665572518208,-33.8006916108445,-59.4955962110789,,Conventional,Argentina,INA,Rio Parana
40,40,2,,m,INA,0.3,2.0,2.2,True,0.270204922703446,0.869232237664728,1.8633333317569,-34.0987818311696,-59.0108657589595,,Conventional,Argentina,INA,Rio Parana
41,41,2,,m,INA,,2.2,2.45,True,0.179795085447408,0.792508190609718,1.72195355227736,-34.1555854281116,-58.9581750062675,,Conventional,Argentina,INA,Rio Parana
42,42,2,,m,INA,0.1,3.0,3.5,True,0.181010932503828,0.768898904486432,1.60286884978821,-34.3,-58.7333333333,,Conventional,Argentina,INA,Rio Parana
43,43,2,,m,INA,1.1,2.3,2.6,True,0.828508192887072,1.50355192058073,2.83015300927918,-33.7,-58.65,,Conventional,Argentina,INA,Rio Parana
44,44,2,,m,INA,1.0,2.85,3.0,True,1.07433059502169,1.70933606162097,2.52475137528175,-33.8627031166646,-58.6604197120006,,Conventional,Argentina,INA,Rio Parana
45,45,2,,m,INA,0.4,2.0,2.3,True,0.108770493916719,0.906688528471306,2.41249179774946,-33.7619777376355,-59.1800594404244,,Conventional,Argentina,INA,Rio Parana
46,46,2,,m,INA,0.8,4.5,5.0,True,0.978306006212703,2.19087430753343,4.26698633881866,-33.2166666667,-59.3666666667,,Conventional,Argentina,INA,Rio Parana
47,47,2,,m,INA,0.2,2.5,5.0,True,0.288087434822419,0.853959010435584,1.69842895100026,-34.1902896924007,-58.2530455191105,,Conventional,Argentina,INA,Rio de la Plata
48,48,2,,m,INA,0.3,2.2,2.4,True,0.401338794680892,0.962431692849091,1.73831420648293,-34.0166666667,-58.4,,Conventional,Argentina,INA,Rio Parana
49,49,2,,m,INA,0.2,3.3,3.8,True,0.330601097517163,1.08520765333879,1.98162567387513,-34.4159316389634,-58.5779747237367,,Conventional,Argentina,INA,Rio Parana
50,50,2,,m,INA,0.2,2.3,2.8,True,0.300204923895539,0.974653011788436,1.80650272069733,-34.351576,-58.686115,,Conventional,Argentina,INA,Rio Parana
51,51,2,,m,INA,1.0,3.2,3.8,True,1.07636611458789,1.89173495606647,2.73665027735663,-34.2,-58.4833333333,,Conventional,Argentina,INA,Rio Parana
52,52,2,,m,INA,0.21,3.0,3.5,True,0.472770496958592,1.07350820156394,1.88665845550475,-34.4333333333,-58.55,,Conventional,Argentina,INA,Rio Parana
53,53,2,,m,INA,0.3,3.0,3.5,True,0.425000005325333,1.16542076543381,2.08583058880978,-34.457166,-58.507163,,Conventional,Argentina,INA,Rio Parana
54,54,2,,m,INA,0.1,3.0,3.8,True,0.25343989584941,0.979459021423684,1.92422402165627,-34.506666,-58.475863,,Conventional,Argentina,INA,Rio Parana
55,55,2,,m,INA,2.4,5.35,6.0,True,2.02797813851977,3.79668032732166,6.92905190733613,-25.3666666666667,-57.65,,Conventional,Argentina,INA,Rio Paraguay
56,56,2,,m,INA,0.0,6.0,6.4,True,0.235068308851107,3.25038250873649,5.72080056914866,-25.451947,-57.568182,,Conventional,Argentina,INA,Rio Paraguay
57,57,2,,m,INA,3.2,7.8,8.3,True,2.36348360483764,4.46763935115168,8.15862290846194,-26.1833333333333,-58.1833333333333,,Conventional,Argentina,INA,Rio Paraguay
58,58,2,,m,INA,,6.5,7.0,True,2.39633878690949,4.43159837605523,7.23475409205494,-26.92629,-58.506205,,Conventional,Argentina,INA,Rio Paraguay
59,59,2,,m,INA,2.5995,,,True,3.13591531586777,4.11560108883133,5.24079234873662,-27.3166666666667,-58.6166666666667,,Conventional,Argentina,INA,Rio Parana
60,60,2,,m,INA,,,,True,0.255778690286062,2.27263659890232,7.68927597999573,-27.153744,-53.933149,,Conventional,Argentina,INA,Rio Uruguay
61,61,2,,m,INA,,,,True,0.596721313934509,1.81509562496279,5.61185791323094,-27.3,-54.2,,Conventional,Argentina,INA,Rio Uruguay
62,62,2,,m,INA,,,,True,0.0,0.0527322399811667,4.31106557937268,-27.4375,-54.3553,,Conventional,Argentina,INA,Rio Uruguay
63,63,2,,m,INA,,,,True,0.0339207655032639,2.44308742147977,6.08561476592809,-27.572,-54.678494,,Conventional,Argentina,INA,Rio Uruguay
65,65,2,,m,INA,1.3,8.0,10.0,True,0.870300543275687,1.96999452674324,5.17133605675619,-27.8833333333333,-55.1333333333333,,Conventional,Argentina,INA,Rio Uruguay
66,66,2,,m,INA,0.904,15.5,16.5,True,1.10204917192459,2.35121038604955,6.13329236103537,-28.119193,-55.581369,,Conventional,Argentina,INA,Rio Uruguay
67,67,2,,m,INA,0.03,12.0,14.0,True,0.0822814190302227,1.91274316454194,7.80370216812592,-28.1833333333333,-55.65,,Conventional,Argentina,INA,Rio Uruguay
68,68,2,,m,INA,1.3,11.5,12.5,True,1.43004918391587,3.62405737631959,9.02992897476655,-28.55,-56.0333333333333,,Conventional,Argentina,INA,Rio Uruguay
69,69,2,,m,INA,0.89,9.5,11.0,True,1.4106147535186,3.48294262286744,8.29252182199655,-29.1,-56.55,,Conventional,Argentina,INA,Rio Uruguay
70,70,2,,m,INA,0.26,9.5,11.5,True,1.21859289860465,3.39945901873333,8.3105928793631,-29.18062,-56.633977,,Conventional,Argentina,INA,Rio Uruguay
71,71,2,,m,INA,0.0,9.5,10.5,True,1.2045683068493,3.15422131324726,7.65945357181987,-29.470031,-56.810674,,Conventional,Argentina,INA,Rio Uruguay
72,72,2,,m,INA,1.4,7.5,8.5,True,1.09733606638804,3.12533606792408,7.6301366110317,-29.7166666666667,-57.0833333333333,,Conventional,Argentina,INA,Rio Uruguay
