STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW_WATERS,THRESHOLD_FLOOD_ALERT,THRESHOLD_EVACUATION,THRESHOLD_ene_mean,THRESHOLD_ene_p01,THRESHOLD_ene_p10,THRESHOLD_ene_p50,THRESHOLD_ene_p90,THRESHOLD_ene_p99,THRESHOLD_feb_mean,THRESHOLD_feb_p01,THRESHOLD_feb_p10,THRESHOLD_feb_p50,THRESHOLD_feb_p90,THRESHOLD_feb_p99,THRESHOLD_mar_mean,THRESHOLD_mar_p01,THRESHOLD_mar_p10,THRESHOLD_mar_p50,THRESHOLD_mar_p90,THRESHOLD_mar_p99,THRESHOLD_apr_mean,THRESHOLD_apr_p01,THRESHOLD_apr_p10,THRESHOLD_apr_p50,THRESHOLD_apr_p90,THRESHOLD_apr_p99,THRESHOLD_may_mean,THRESHOLD_may_p01,THRESHOLD_may_p10,THRESHOLD_may_p50,THRESHOLD_may_p90,THRESHOLD_may_p99,THRESHOLD_jun_mean,THRESHOLD_jun_p01,THRESHOLD_jun_p10,THRESHOLD_jun_p50,THRESHOLD_jun_p90,THRESHOLD_jun_p99,THRESHOLD_jul_mean,THRESHOLD_jul_p01,THRESHOLD_jul_p10,THRESHOLD_jul_p50,THRESHOLD_jul_p90,THRESHOLD_jul_p99,THRESHOLD_aug_mean,THRESHOLD_aug_p01,THRESHOLD_aug_p10,THRESHOLD_aug_p50,THRESHOLD_aug_p90,THRESHOLD_aug_p99,THRESHOLD_sep_mean,THRESHOLD_sep_p01,THRESHOLD_sep_p10,THRESHOLD_sep_p50,THRESHOLD_sep_p90,THRESHOLD_sep_p99,THRESHOLD_oct_mean,THRESHOLD_oct_p01,THRESHOLD_oct_p10,THRESHOLD_oct_p50,THRESHOLD_oct_p90,THRESHOLD_oct_p99,THRESHOLD_nov_mean,THRESHOLD_nov_p01,THRESHOLD_nov_p10,THRESHOLD_nov_p50,THRESHOLD_nov_p90,THRESHOLD_nov_p99,THRESHOLD_dec_mean,THRESHOLD_dec_p01,THRESHOLD_dec_p10,THRESHOLD_dec_p50,THRESHOLD_dec_p90,THRESHOLD_dec_p99
8,8,40,24.0,m^3/s,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,40,24.0,m^3/s,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,40,24.0,m^3/s,INA,,,,18477.1,7503.4,13539.2,17496.0,25835.8,34327.0,20488.2,9075.98,14466.8,19555.6,28437.4,34705.2,19878.0,9765.61,13861.5,18753.9,28384.9,32808.9,19071.8,9618.99,14242.9,18304.3,25343.5,36067.1,18606.4,8950.15,13886.9,17860.8,23378.4,38973.9,18381.7,8169.0,14239.7,17750.9,24416.4,29863.9,17895.5,7959.95,13665.1,17207.1,23876.9,31795.9,16345.9,7787.5,12676.4,15803.4,20974.2,26194.4,15610.8,8831.3,12435.7,14960.2,20002.8,27967.2,17799.8,10057.6,12812.9,16743.5,24198.3,32951.8,18495.2,9376.96,12670.3,17971.1,24469.1,29592.7,18371.9,9390.64,13445.2,17171.2,26248.9,33754.9
29,29,40,24.0,m^3/s,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,40,24.0,m^3/s,INA,,,,18739.7,6208.74,11752.3,16544.4,27634.0,44786.9,21025.2,7087.7,13131.9,19629.8,35585.8,39710.7,22010.1,8828.89,13189.8,20456.5,35843.0,44239.3,21411.2,8485.14,12897.7,19497.8,32144.8,47909.4,20984.7,7752.1,13006.6,20533.3,27059.7,55592.4,18865.2,7745.0,12820.5,17779.5,25939.0,40036.4,18291.0,6692.74,12743.8,17202.4,26024.7,33018.5,16566.9,6265.94,12001.7,15721.8,23999.8,29634.8,14926.1,7789.88,11285.8,13985.9,21285.9,28195.2,15796.9,7758.52,11647.0,14761.9,20058.5,31507.0,18413.1,7666.2,12293.2,17620.2,27650.6,35322.2,18217.1,8348.21,12110.2,16347.0,26673.0,36091.1
34,34,40,24.0,m^3/s,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,40,24.0,m^3/s,INA,,,,2782.52,535.59,1299.82,2469.97,4707.31,9974.62,2971.86,535.59,1634.76,2555.7,5379.4,6953.3,3107.86,535.59,1781.61,2863.82,5119.26,7398.09,169097000.0,1728.83,2003.65,3035.75,5686.26,8121.92,3864.68,1667.47,2126.6,3681.84,5621.42,8969.36,4055.63,1545.84,2514.18,3875.88,5945.32,8941.09,3907.88,535.59,2138.62,3676.7,5877.66,9055.75,3408.45,535.59,1619.77,3183.98,5641.41,7929.8,2878.2,439.521,728.31,2863.8,4955.77,5694.58,2568.05,535.59,535.59,2336.1,4687.5,5197.32,2505.87,535.59,535.59,2366.68,4427.3,5577.59,2723.86,535.59,535.59,2335.2,4953.66,9449.89
57,57,40,24.0,m^3/s,INA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,40,24.0,m^3/s,INA,,,,1731.38,295.2,580.0,1288.0,3330.0,5848.8,1855.16,245.72,518.8,1247.0,3712.0,9553.92,1442.71,201.92,403.0,1088.0,2718.8,7169.09,1665.08,231.9,370.0,1060.0,3295.0,10781.8,1939.58,100.0,264.0,1030.0,4360.0,14051.0,2467.75,220.0,570.0,1570.0,4530.0,21280.6,2606.68,540.0,834.6,1920.0,4676.0,14538.8,2224.52,270.0,740.0,1600.0,4200.0,12592.2,2518.56,270.0,563.7,1715.5,5237.1,14390.2,3795.84,496.5,940.0,2900.0,6895.0,17478.0,2613.27,375.25,809.1,2140.0,4619.0,12400.0,1859.78,291.0,574.6,1288.0,3584.0,10615.8
65,65,40,24.0,m^3/s,INA,,,,1834.94,300.0,450.0,1350.0,3941.9,6805.3,1946.85,280.0,460.0,1170.0,4170.0,12665.5,1525.22,270.0,380.991,1097.0,3028.5,7984.69,1879.95,250.034,360.9,1124.0,4238.0,12040.3,2163.27,205.0,333.8,1130.0,5124.0,15954.7,2630.25,241.0,531.0,1588.0,5244.0,20732.1,2936.09,360.0,870.0,1978.36,5724.0,17603.6,2366.51,500.0,702.0,1590.0,4700.0,12784.4,2614.79,377.0,570.0,1684.86,5502.0,14470.8,4322.15,380.0,1050.0,3266.57,8241.0,20405.2,2928.97,427.419,791.0,2110.0,5556.0,14367.0,2086.56,320.0,550.0,1310.0,4860.0,11478.8
