STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
8,8,4,,m^3/s,INA,,,,True,,,,-25.5833333333333,-53.9833333333333,,Conventional,Argentina,INA,Rio Parana
10,10,4,,m^3/s,INA,,,,True,,,,-25.916679,-54.621134,,Conventional,Argentina,INA,Rio Parana
19,19,4,,m^3/s,INA,,,,True,13410.4093317751,18434.9472469476,29238.9101082223,-27.46364349,-58.8388696,,Conventional,Argentina,INA,Rio Parana
20,20,4,,m^3/s,INA,,,,True,13494.1508522242,18113.2295855746,27793.199047985,-27.4833333333333,-58.9333333333333,,Conventional,Argentina,INA,Rio Parana
29,29,4,,m^3/s,INA,,,,True,,,,-31.7182378629681,-60.5225697750899,,Conventional,Argentina,INA,Rio Parana
30,30,4,,m^3/s,INA,,,,True,12673.0910070867,18909.3755389771,33120.359060152,-31.6514772196376,-60.7002319185745,,Conventional,Argentina,INA,Rio Parana
34,34,4,,m^3/s,INA,,,,True,,,,-32.9432699442268,-60.6308206029857,,Conventional,Argentina,INA,Rio Parana
55,55,4,,m^3/s,INA,,,,True,1676.39818151922,3324.63532528069,7316.92378543374,-25.3666666666667,-57.65,,Conventional,Argentina,INA,Rio Paraguay
57,57,4,,m^3/s,INA,,,,True,,,,-26.1833333333333,-58.1833333333333,,Conventional,Argentina,INA,Rio Paraguay
61,61,4,,m^3/s,INA,,,,True,386.273224043716,1569.62431693989,6666.57513661202,-27.3,-54.2,,Conventional,Argentina,INA,Rio Uruguay
65,65,4,,m^3/s,INA,,,,True,424.47131147541,1568.51167789313,7496.9652213008,-27.8833333333333,-55.1333333333333,,Conventional,Argentina,INA,Rio Uruguay
67,67,4,,m^3/s,INA,,,,True,619.469945355191,2013.47875776447,8930.42745688183,-28.1833333333333,-55.65,,Conventional,Argentina,INA,Rio Uruguay
68,68,4,,m^3/s,INA,,,,True,721.960382513661,2080.9262295082,8939.52595628415,-28.55,-56.0333333333333,,Conventional,Argentina,INA,Rio Uruguay
72,72,4,,m^3/s,INA,,,,True,992.199453551913,3482.28142076503,12267.8210382514,-29.7166666666667,-57.0833333333333,,Conventional,Argentina,INA,Rio Uruguay
77,77,4,,m^3/s,INA,,,,True,924.05737704918,4184.03415300546,14991.3920765027,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay
78,78,4,,m^3/s,INA,,,,True,,,,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay
79,79,4,,m^3/s,INA,,,,True,928.621445285818,3796.99223619471,14212.7171357369,-31.4,-58.0166666666667,,Conventional,Argentina,INA,Rio Uruguay
87,87,4,,m^3/s,INA,,,,True,,,,-27.482557,-56.727244,,Conventional,Argentina,INA,Rio Parana
88,88,4,,m^3/s,INA,,,,True,9903.68852459016,13511.3387978142,22784.9726775956,-27.482557,-56.727244,,Conventional,Argentina,INA,Rio Parana
92,92,4,,m^3/s,INA,,,,True,,,,-25.4,-54.583,,Conventional,Argentina,INA,Rio Parana
93,93,4,,m^3/s,INA,,,,True,,,,-25.592701,-54.593363,,Conventional,Argentina,INA,Rio Parana
103,103,4,,m^3/s,INA,,,,True,14.7919509215433,119.434122763045,641.308645404753,-31.4912222222222,-60.7805555555556,,Conventional,Argentina,INA,Rio Parana
1035,1035,4,,m^3/s,INA,,,,True,,,,-28.177515,-55.642269,,Automatic,Argentina,INA,Rio Uruguay
1038,1038,4,,m^3/s,INA,,,,True,,,,-27.298582,-54.193437,,Automatic,Argentina,INA,Rio Uruguay
2178,2178,4,,m^3/s,INA,,,,True,,,,-25.5905555555556,-53.995,,Automatic,Argentina,INA,Rio Parana
2203,2203,4,,m^3/s,INA,,,,True,,,,-32.3086111111111,-59.0769444444445,,Automatic,Argentina,INA,Rio Parana
2205,2205,4,,m^3/s,INA,,,,True,,,,-31.8016666666667,-59.1261111111111,,Automatic,Argentina,INA,Rio Parana
5901,5901,4,,m^3/s,INA,,,,True,,,,-31.72,-60.5175,,Automatic,Argentina,INA,Rio Parana
