STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_RED,IMPORT,THRESHOLD_p05,THRESHOLD_p50,THRESHOLD_p95,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORGANIZATION,SUBBASIN
8,8,39,24.0,m,INA,0.2,10.5,13.5,True,0.187568306169712,0.996079228777703,2.88939889858329,-25.5833333333333,-53.9833333333333,,Argentina,INA,Rio Parana
9,9,39,24.0,m,INA,10.0,25.0,28.0,True,8.64493168638052,13.2860519221572,22.6560109716947,-25.5833333333333,-54.5666666666667,,Argentina,INA,Rio Parana
10,10,39,24.0,m,INA,9.8,29.0,31.0,True,8.06154373565007,13.2892759562842,22.4894397975317,-25.916679,-54.621134,,Argentina,INA,Rio Parana
11,11,39,24.0,m,INA,8.63,23.0,25.0,True,5.79107923976711,10.2351502616549,17.6365709747773,-26.3833333333333,-54.7,,Argentina,INA,Rio Parana
12,12,39,24.0,m,INA,6.76,14.5,15.5,True,3.96930328418648,7.31857923080361,12.7274590346331,-26.8,-55.0333333333333,,Argentina,INA,Rio Parana
13,13,39,24.0,m,INA,7.36,9.3,9.8,True,,,,-27.33509,-55.588412,,Argentina,INA,Rio Parana
14,14,39,24.0,m,INA,9.8,11.0,12.0,True,1.15986338550927,3.26994536027231,10.3100956437366,-27.3666666666667,-55.8833333333333,,Argentina,INA,Rio Parana
15,15,39,24.0,m,INA,0.7,3.5,4.0,True,0.967841527175382,1.71964479990996,3.32125682062139,-27.5833333333333,-56.7,,Argentina,INA,Rio Parana
16,16,39,24.0,m,INA,1.5,7.0,7.5,True,1.26945356088258,2.43177595392602,4.83560110376181,-27.42336098,-57.33326783,,Argentina,INA,Rio Parana
17,17,39,24.0,m,INA,2.7,6.8,7.5,True,2.35691254875048,3.73806010178529,6.4719125768526,-27.26677773,-58.24407387,,Argentina,INA,Rio Parana
18,18,39,24.0,m,INA,3.0,6.5,7.0,True,2.38368852672681,3.76405736396873,6.4178415478253,-27.3333333333333,-58.5833333333333,,Argentina,INA,Rio Parana
19,19,39,24.0,m,INA,3.0,6.5,7.0,True,2.38107925686028,3.85161202071143,6.40260928054976,-27.46364349,-58.8388696,,Argentina,INA,Rio Parana
20,20,39,24.0,m,INA,3.2,6.0,6.5,True,2.37330600798456,3.80105191110913,6.29498634442606,-27.4833333333333,-58.9333333333333,,Argentina,INA,Rio Parana
21,21,39,24.0,m,INA,2.8,6.5,6.7,True,2.23316940811814,3.40523225948459,5.39564207863938,-27.95412346,-58.81852419,,Argentina,INA,Rio Parana
22,22,39,24.0,m,INA,3.0,6.0,6.4,True,2.31498634456937,3.77001366589239,5.84032786348478,-28.51840072,-59.05931723,,Argentina,INA,Rio Parana
23,23,39,24.0,m,INA,2.6,5.2,5.7,True,2.64028689379249,3.94066939132461,5.56892078040076,-29.14376844,-59.27303952,,Argentina,INA,Rio Parana
24,24,39,24.0,m,INA,2.3,5.1,5.3,True,2.52010929649645,3.741161217455,5.36189888995853,-29.23756092,-59.58115833,,Argentina,INA,Rio Parana
25,25,39,24.0,m,INA,2.2,5.0,5.4,True,2.39362021808416,3.76471312384788,5.36461748190916,-30.01924089,-59.53663483,,Argentina,INA,Rio Parana
26,26,39,24.0,m,INA,3.2,5.8,6.15,True,2.7651093045219,4.30049179811947,5.87101091713202,-30.73419972,-59.6381167,,Argentina,INA,Rio Parana
27,27,39,24.0,m,INA,2.54,6.9,7.25,True,2.76422130279854,4.24990439024128,5.86695353190104,-30.95,-59.7833333333333,,Argentina,INA,Rio Parana
28,28,39,24.0,m,INA,2.18,5.5,6.0,True,2.29127048859831,3.76226775307473,5.71374317466236,-31.22650904,-59.99193936,,Argentina,INA,Rio Parana
29,29,39,24.0,m,INA,2.3,4.7,5.0,True,1.90433060536619,3.27836065539897,5.12698084669686,-31.7182378629681,-60.5225697750899,,Argentina,INA,Rio Parana
30,30,39,24.0,m,INA,2.6,5.3,5.7,True,2.26308741921284,3.66942623013356,5.61039616110546,-31.6514772196376,-60.7002319185745,,Argentina,INA,Rio Parana
