STATION_ID,STATION_NAME,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID,CHILD_ID
8,Andresito,8,39,24.0,m,INA,0.16,10.5,,13.5,,,0.996079228777703,0.187568306169712,,,2.88939889858329,True,-25.5833333333333,-53.9833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_8,AR_INA_8_INA_24_H
9,Puerto Iguazú,9,39,24.0,m,INA,9.4,25.0,,28.0,,,13.2860519221572,8.64493168638052,,,22.6560109716947,True,-25.5833333333333,-54.5666666666667,,Conventional,Argentina,INA,Rio Parana,AR_INA_9,AR_INA_9_INA_24_H
10,Libertad,10,39,24.0,m,INA,9.4,29.0,,31.0,,,13.2892759562842,8.06154373565007,,,22.4894397975317,True,-25.916679,-54.621134,,Conventional,Argentina,INA,Rio Parana,AR_INA_10,AR_INA_10_INA_24_H
11,El Dorado,11,39,24.0,m,INA,7.5,23.0,,25.0,,,10.2351502616549,5.79107923976711,,,17.6365709747773,True,-26.3833333333333,-54.7,,Conventional,Argentina,INA,Rio Parana,AR_INA_11,AR_INA_11_INA_24_H
12,Libertador,12,39,24.0,m,INA,5.17,14.5,,15.5,,,7.31857923080361,3.96930328418648,,,12.7274590346331,True,-26.8,-55.0333333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_12,AR_INA_12_INA_24_H
13,Santa Ana,13,39,24.0,m,INA,7.36,9.3,,9.8,,,,,,,,True,-27.33509,-55.588412,,Conventional,Argentina,INA,Rio Parana,AR_INA_13,AR_INA_13_INA_24_H
14,Posadas,14,39,24.0,m,INA,9.8,11.0,,12.0,,,3.26994536027231,1.15986338550927,,,10.3100956437366,True,-27.3666666666667,-55.8833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_14,AR_INA_14_INA_24_H
15,Ituzaingó,15,39,24.0,m,INA,0.81,3.5,,4.0,,,1.71964479990996,0.967841527175382,,,3.32125682062139,True,-27.5833333333333,-56.7,,Conventional,Argentina,INA,Rio Parana,AR_INA_15,AR_INA_15_INA_24_H
16,Itá Ibaté,16,39,24.0,m,INA,1.34,7.0,,7.5,,,2.43177595392602,1.26945356088258,,,4.83560110376181,True,-27.42336098,-57.33326783,,Conventional,Argentina,INA,Rio Parana,AR_INA_16,AR_INA_16_INA_24_H
17,Itatí,17,39,24.0,m,INA,2.7,6.8,,7.5,,,3.73806010178529,2.35691254875048,,,6.4719125768526,True,-27.26677773,-58.24407387,,Conventional,Argentina,INA,Rio Parana,AR_INA_17,AR_INA_17_INA_24_H
18,Paso de la Patria,18,39,24.0,m,INA,2.2,6.5,,7.0,,,3.76405736396873,2.38368852672681,,,6.4178415478253,True,-27.3333333333333,-58.5833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_18,AR_INA_18_INA_24_H
19,Corrientes,19,39,24.0,m,INA,1.83,6.5,,7.0,,,3.85161202071143,2.38107925686028,,,6.40260928054976,True,-27.46364349,-58.8388696,,Conventional,Argentina,INA,Rio Parana,AR_INA_19,AR_INA_19_INA_24_H
20,Barranqueras,20,39,24.0,m,INA,1.93,6.0,,6.5,,,3.80105191110913,2.37330600798456,,,6.29498634442606,True,-27.4833333333333,-58.9333333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_20,AR_INA_20_INA_24_H
21,Empedrado,21,39,24.0,m,INA,2.8,6.5,,6.7,,,3.40523225948459,2.23316940811814,,,5.39564207863938,True,-27.95412346,-58.81852419,,Conventional,Argentina,INA,Rio Parana,AR_INA_21,AR_INA_21_INA_24_H
22,Bella Vista,22,39,24.0,m,INA,3.0,6.0,,6.4,,,3.77001366589239,2.31498634456937,,,5.84032786348478,True,-28.51840072,-59.05931723,,Conventional,Argentina,INA,Rio Parana,AR_INA_22,AR_INA_22_INA_24_H
23,Goya,23,39,24.0,m,INA,2.23,5.2,,5.7,,,3.94066939132461,2.64028689379249,,,5.56892078040076,True,-29.14376844,-59.27303952,,Conventional,Argentina,INA,Rio Parana,AR_INA_23,AR_INA_23_INA_24_H
24,Reconquista,24,39,24.0,m,INA,2.18,5.1,,5.3,,,3.741161217455,2.52010929649645,,,5.36189888995853,True,-29.23756092,-59.58115833,,Conventional,Argentina,INA,Rio Parana,AR_INA_24,AR_INA_24_INA_24_H
25,Esquina,25,39,24.0,m,INA,2.2,5.0,,5.4,,,3.76471312384788,2.39362021808416,,,5.36461748190916,True,-30.01924089,-59.53663483,,Conventional,Argentina,INA,Rio Parana,AR_INA_25,AR_INA_25_INA_24_H
26,La Paz,26,39,24.0,m,INA,2.38,5.8,,6.15,,,4.30049179811947,2.7651093045219,,,5.87101091713202,True,-30.73419972,-59.6381167,,Conventional,Argentina,INA,Rio Parana,AR_INA_26,AR_INA_26_INA_24_H
27,Santa Elena,27,39,24.0,m,INA,2.54,6.9,,7.25,,,4.24990439024128,2.76422130279854,,,5.86695353190104,True,-30.95,-59.7833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_27,AR_INA_27_INA_24_H
