STATION_ID,STATION_NAME,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID,CHILD_ID
8,Andresito,8,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-25.5833333333333,-53.9833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_8,AR_INA_8_INA_24_Q
19,Corrientes,19,40,24.0,m^3/s,INA,,,,,,,18423.7604780353,13408.5970612406,,,29210.4635523395,True,-27.46364349,-58.8388696,,Conventional,Argentina,INA,Rio Parana,AR_INA_19,AR_INA_19_INA_24_Q
20,Barranqueras,20,40,24.0,m^3/s,INA,,,,,,,18099.4373105575,13490.388960041,,,27665.0848595458,True,-27.4833333333333,-58.9333333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_20,AR_INA_20_INA_24_Q
29,Paraná,29,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-31.7182378629681,-60.5225697750899,,Conventional,Argentina,INA,Rio Parana,AR_INA_29,AR_INA_29_INA_24_Q
30,Santa Fe,30,40,24.0,m^3/s,INA,,,,,,,18890.6883564933,12670.8393634734,,,33122.2865383794,True,-31.6514772196376,-60.7002319185745,,Conventional,Argentina,INA,Rio Parana,AR_INA_30,AR_INA_30_INA_24_Q
34,Rosario,34,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-32.9432699442268,-60.6308206029857,,Conventional,Argentina,INA,Rio Parana,AR_INA_34,AR_INA_34_INA_24_Q
55,Puerto Pilcomayo,55,40,24.0,m^3/s,INA,,,,,,,3323.90244113943,1676.01377710228,,,7319.95950600879,True,-25.3666666666667,-57.65,,Conventional,Argentina,INA,Rio Paraguay,AR_INA_55,AR_INA_55_INA_24_Q
57,Puerto Formosa,57,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-26.1833333333333,-58.1833333333333,,Conventional,Argentina,INA,Rio Paraguay,AR_INA_57,AR_INA_57_INA_24_Q
61,El Soberbio,61,40,24.0,m^3/s,INA,,,,,,,1567.53551912568,385.868852459016,,,6664.95218579235,True,-27.3,-54.2,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_61,AR_INA_61_INA_24_Q
65,San Javier,65,40,24.0,m^3/s,INA,,,,,,,1566.61960389184,424.329234972678,,,7496.88601301016,True,-27.8833333333333,-55.1333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_65,AR_INA_65_INA_24_Q
67,Garruchos,67,40,24.0,m^3/s,INA,,,,,,,2010.13688551272,619.010245901639,,,8924.36031287355,True,-28.1833333333333,-55.65,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_67,AR_INA_67_INA_24_Q
68,Santo Tomé,68,40,24.0,m^3/s,INA,,,,,,,2079.48770491803,721.323770491803,,,8931.72404371585,True,-28.55,-56.0333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_68,AR_INA_68_INA_24_Q
69,Alvear,69,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-29.1,-56.55,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_69,AR_INA_69_INA_24_Q
72,Paso de los Libres,72,40,24.0,m^3/s,INA,,,,,,,3477.24726775956,991.863387978142,,,12239.2459016393,True,-29.7166666666667,-57.0833333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_72,AR_INA_72_INA_24_Q
74,Monte Caseros,74,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-30.25,-57.6333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_74,AR_INA_74_INA_24_Q
77,Salto Grande Arriba,77,40,24.0,m^3/s,INA,,,,,,,4168.85109289618,923.427595628415,,,15006.3101092896,True,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_77,AR_INA_77_INA_24_Q
78,Salto Grande Abajo,78,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-31.27547,-57.936945,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_78,AR_INA_78_INA_24_Q
79,Concordia,79,40,24.0,m^3/s,INA,,,,,,,3790.05142362001,928.326365986808,,,14148.0724283854,True,-31.4,-58.0166666666667,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_79,AR_INA_79_INA_24_Q
88,Yacyretá efluente,88,40,24.0,m^3/s,INA,,,,,,,13497.5409836066,9900.81967213115,,,22712.5683060109,True,-27.482557,-56.727244,,Conventional,Argentina,INA,Rio Parana,AR_INA_88,AR_INA_88_INA_24_Q
93,Confluencia,93,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-25.592701,-54.593363,,Conventional,Argentina,INA,Rio Parana,AR_INA_93,AR_INA_93_INA_24_Q
2199,Corrientes - Los Laureles,2199,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-29.7572222222222,-59.2172222222222,,Automatic,Argentina,INA,Rio Parana,AR_INA_2199,AR_INA_2199_INA_24_Q
2203,Gualeguay - Rosario del Tala,2203,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-32.3086111111111,-59.0769444444445,,Automatic,Argentina,INA,Rio Parana,AR_INA_2203,AR_INA_2203_INA_24_Q
2205,Gualeguay - Villaguay,2205,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-31.8016666666667,-59.1261111111111,,Automatic,Argentina,INA,Rio Parana,AR_INA_2205,AR_INA_2205_INA_24_Q
2215,Río Areco - San Antonio de Are,2215,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-34.2405555555556,-59.4994444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_2215,AR_INA_2215_INA_24_Q
2832,Corriente - Paso Lucero,2832,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-28.995,-58.5583333333333,,Automatic,Argentina,INA,Rio Parana,AR_INA_2832,AR_INA_2832_INA_24_Q
5901,Paraná - Túnel subfluvial,5901,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-31.72,-60.5175,,Automatic,Argentina,INA,Rio Parana,AR_INA_5901,AR_INA_5901_INA_24_Q
6544,Areco - Carmen de Areco,6544,40,24.0,m^3/s,INA,,,,,,,,,,,,True,-34.3519444444444,-59.8169444444444,,Automatic,Argentina,INA,Rio Parana,AR_INA_6544,AR_INA_6544_INA_24_Q
