STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
8,Andresito,ANDRE,station 8: Andresito - property of PNA,-25.5833333333333,-53.9833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_8
9,Puerto Iguazú,PuertoIguazú,station 9: Puerto Iguazú - property of PNA,-25.5833333333333,-54.5666666666667,,Conventional,Argentina,INA,Rio Parana,AR_INA_9
10,Libertad,Libertad,station 10: Libertad - property of PNA,-25.916679,-54.621134,,Conventional,Argentina,INA,Rio Parana,AR_INA_10
11,El Dorado,ElDorado,station 11: El Dorado - property of PNA,-26.3833333333333,-54.7,,Conventional,Argentina,INA,Rio Parana,AR_INA_11
12,Libertador,Libertador,station 12: Libertador - property of PNA,-26.8,-55.0333333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_12
13,Santa Ana,SantaAna,station 13: Santa Ana - property of PNA,-27.33509,-55.588412,,Conventional,Argentina,INA,Rio Parana,AR_INA_13
14,Posadas,Posadas,station 14: Posadas - property of PNA,-27.3666666666667,-55.8833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_14
15,Ituzaingó,ITUZA,station 15: Ituzaingó - property of PNA,-27.5833333333333,-56.7,,Conventional,Argentina,INA,Rio Parana,AR_INA_15
16,Itá Ibaté,ITAIBATE,station 16: Itá Ibaté - property of PNA,-27.42336098,-57.33326783,,Conventional,Argentina,INA,Rio Parana,AR_INA_16
17,Itatí,ITATI,station 17: Itatí - property of PNA,-27.26677773,-58.24407387,,Conventional,Argentina,INA,Rio Parana,AR_INA_17
18,Paso de la Patria,PasodelaPatr,station 18: Paso de la Patria - property of PNA,-27.3333333333333,-58.5833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_18
19,Corrientes,CORR,station 19: Corrientes - property of PNA,-27.46364349,-58.8388696,,Conventional,Argentina,INA,Rio Parana,AR_INA_19
20,Barranqueras,BARRANC,station 20: Barranqueras - property of PNA,-27.4833333333333,-58.9333333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_20
21,Empedrado,EMPE,station 21: Empedrado - property of PNA,-27.95412346,-58.81852419,,Conventional,Argentina,INA,Rio Parana,AR_INA_21
22,Bella Vista,BVIS,station 22: Bella Vista - property of PNA,-28.51840072,-59.05931723,,Conventional,Argentina,INA,Rio Parana,AR_INA_22
23,Goya,GOYA,station 23: Goya - property of PNA,-29.14376844,-59.27303952,,Conventional,Argentina,INA,Rio Parana,AR_INA_23
24,Reconquista,RECO,station 24: Reconquista - property of PNA,-29.23756092,-59.58115833,,Conventional,Argentina,INA,Rio Parana,AR_INA_24
25,Esquina,ESQU,station 25: Esquina - property of PNA,-30.01924089,-59.53663483,,Conventional,Argentina,INA,Rio Parana,AR_INA_25
26,La Paz,LAPA,station 26: La Paz - property of PNA,-30.73419972,-59.6381167,,Conventional,Argentina,INA,Rio Parana,AR_INA_26
27,Santa Elena,SantaElena,station 27: Santa Elena - property of PNA,-30.95,-59.7833333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_27
28,Hernandarias,HERNANDA,station 28: Hernandarias - property of PNA,-31.22650904,-59.99193936,,Conventional,Argentina,INA,Rio Parana,AR_INA_28
29,Paraná,PARAN,station 29: Paraná - property of PNA,-31.7182378629681,-60.5225697750899,,Conventional,Argentina,INA,Rio Parana,AR_INA_29
30,Santa Fe,SAFE,station 30: Santa Fe - property of PNA,-31.6514772196376,-60.7002319185745,,Conventional,Argentina,INA,Rio Parana,AR_INA_30
31,Diamante,DIAM,station 31: Diamante - property of PNA,-32.0715615377843,-60.6432219715378,,Conventional,Argentina,INA,Rio Parana,AR_INA_31
32,Victoria,Victoria,station 32: Victoria - property of PNA,-32.6558456373673,-60.2195849446607,,Conventional,Argentina,INA,Rio Parana,AR_INA_32
33,San Lorenzo (San Martín),SANLOR,station 33: San Lorenzo (San Martín) - property of PNA,-32.7336256031375,-60.7256705696322,,Conventional,Argentina,INA,Rio Parana,AR_INA_33
34,Rosario,ROSA,station 34: Rosario - property of PNA,-32.9432699442268,-60.6308206029857,,Conventional,Argentina,INA,Rio Parana,AR_INA_34
35,Villa Constitución,VCON,station 35: Villa Constitución - property of PNA,-33.2354221667103,-60.3091044341421,,Conventional,Argentina,INA,Rio Parana,AR_INA_35
36,San Nicolás,SNICO,station 36: San Nicolás - property of PNA,-33.3420008188866,-60.1895279977149,,Conventional,Argentina,INA,Rio Parana,AR_INA_36
37,Ramallo,Ramallo,station 37: Ramallo - property of PNA,-33.4780656197056,-59.9957013181522,,Conventional,Argentina,INA,Rio Parana,AR_INA_37
38,San Pedro,SPEDRO,station 38: San Pedro - property of PNA,-33.6745267329027,-59.6497183332918,,Conventional,Argentina,INA,Rio Parana,AR_INA_38
39,Baradero,Baradero,station 39: Baradero - property of PNA,-33.8006916108445,-59.4955962110789,,Conventional,Argentina,INA,Rio Parana,AR_INA_39
40,Zárate,Zárate,station 40: Zárate - property of PNA,-34.0987818311696,-59.0108657589595,,Conventional,Argentina,INA,Rio Parana,AR_INA_40
41,Campana,Campana,station 41: Campana - property of PNA,-34.1555854281116,-58.9581750062675,,Conventional,Argentina,INA,Rio Parana,AR_INA_41
42,Escobar,Escobar,station 42: Escobar - property of PNA,-34.3,-58.7333333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_42
43,Villa Paranacito,VillaParanac,station 43: Villa Paranacito - property of PNA,-33.7,-58.65,,Conventional,Argentina,INA,Rio Parana,AR_INA_43
44,Canal Nuevo,CanalNuevo,station 44: Canal Nuevo - property of PNA,-33.8627031166646,-58.6604197120006,,Conventional,Argentina,INA,Rio Parana,AR_INA_44
45,Ibicuy,IBIC,station 45: Ibicuy - property of PNA,-33.7619777376355,-59.1800594404244,,Conventional,Argentina,INA,Rio Parana,AR_INA_45
46,Puerto Ruiz,RUIZ,station 46: Puerto Ruiz - property of PNA,-33.2166666667,-59.3666666667,,Conventional,Argentina,INA,Rio Parana,AR_INA_46
48,Guazucito,Guazucito,station 48: Guazucito - property of PNA,-34.0166666667,-58.4,,Conventional,Argentina,INA,Rio Parana,AR_INA_48
49,Tigre,Tigre,station 49: Tigre - property of PNA,-34.4159316389634,-58.5779747237367,,Conventional,Argentina,INA,Rio Parana,AR_INA_49
50,Dique Luján,DiqueLuján,station 50: Dique Luján - property of PNA,-34.351576,-58.686115,,Conventional,Argentina,INA,Rio Parana,AR_INA_50
51,Chaná Miní,ChanáMiní,station 51: Chaná Miní - property of PNA,-34.2,-58.4833333333,,Conventional,Argentina,INA,Rio Parana,AR_INA_51
52,San Fernando,SanFernando,station 52: San Fernando - property of PNA,-34.4333333333,-58.55,,Conventional,Argentina,INA,Rio Parana,AR_INA_52
53,San Isidro,SanIsidro,station 53: San Isidro - property of PNA,-34.457166,-58.507163,,Conventional,Argentina,INA,Rio Parana,AR_INA_53
54,Olivos,Olivos,station 54: Olivos - property of PNA,-34.506666,-58.475863,,Conventional,Argentina,INA,Rio Parana,AR_INA_54
55,Puerto Pilcomayo,PILC,station 55: Puerto Pilcomayo - property of PNA,-25.3666666666667,-57.65,,Conventional,Argentina,INA,Rio Paraguay,AR_INA_55
57,Puerto Formosa,FORMOSA,station 57: Puerto Formosa - property of PNA,-26.1833333333333,-58.1833333333333,,Conventional,Argentina,INA,Rio Paraguay,AR_INA_57
58,Bermejo,BERMEJO,station 58: Bermejo,-26.92629,-58.506205,,Conventional,Argentina,INA,Rio Paraguay,AR_INA_58
59,Isla del Cerrito,IsladelCerri,station 59: Isla del Cerrito,-27.3166666666667,-58.6166666666667,,Conventional,Argentina,INA,Rio Parana,AR_INA_59
60,Pepirí Miní,PepiríMiní,station 60: Pepirí Miní,-27.153744,-53.933149,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_60
61,El Soberbio,SOBER,station 61: El Soberbio,-27.3,-54.2,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_61
63,Alba Posse,AlbaPosse,station 63: Alba Posse,-27.572,-54.678494,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_63
64,Panambí,Panambí,station 64: Panambí,-27.730627,-54.91305,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_64
65,San Javier,SJAVI,station 65: San Javier - property of PNA,-27.8833333333333,-55.1333333333333,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_65
66,Puerto Concepción,PuertoConcep,station 66: Puerto Concepción - property of PNA,-28.119193,-55.581369,,Conventional,Argentina,INA,Rio Uruguay,AR_INA_66
