STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW_WATERS,THRESHOLD_FLOOD_ALERT,THRESHOLD_EVACUATION
873,873,1,24.0,mm/d,INA,,,
874,874,1,24.0,mm/d,INA,,,
878,878,1,24.0,mm/d,INA,,,
884,884,1,24.0,mm/d,INA,,,
885,885,1,24.0,mm/d,INA,,,
887,887,1,24.0,mm/d,INA,,,
895,895,1,24.0,mm/d,INA,,,
1015,1015,1,24.0,mm/d,INA,,,
1016,1016,1,24.0,mm/d,INA,,,
1017,1017,1,24.0,mm/d,INA,,,
1019,1019,1,24.0,mm/d,INA,,,
1022,1022,1,24.0,mm/d,INA,,,
1024,1024,1,24.0,mm/d,INA,,,
1035,1035,1,24.0,mm/d,INA,,,
1036,1036,1,24.0,mm/d,INA,,,
1038,1038,1,24.0,mm/d,INA,,,
1039,1039,1,24.0,mm/d,INA,,,
1062,1062,1,24.0,mm/d,INA,,,
1064,1064,1,24.0,mm/d,INA,,,
1067,1067,1,24.0,mm/d,INA,,,
1068,1068,1,24.0,mm/d,INA,,,
1070,1070,1,24.0,mm/d,INA,,,
1071,1071,1,24.0,mm/d,INA,,,
1074,1074,1,24.0,mm/d,INA,,,
1075,1075,1,24.0,mm/d,INA,,,
1077,1077,1,24.0,mm/d,INA,,,
1078,1078,1,24.0,mm/d,INA,,,
2153,2153,1,24.0,mm/d,INA,,,
2154,2154,1,24.0,mm/d,INA,,,
2155,2155,1,24.0,mm/d,INA,,,
2157,2157,1,24.0,mm/d,INA,,,
2158,2158,1,24.0,mm/d,INA,,,
2159,2159,1,24.0,mm/d,INA,,,
2160,2160,1,24.0,mm/d,INA,,,
2161,2161,1,24.0,mm/d,INA,,,
2162,2162,1,24.0,mm/d,INA,,,
2163,2163,1,24.0,mm/d,INA,,,
2164,2164,1,24.0,mm/d,INA,,,
2165,2165,1,24.0,mm/d,INA,,,
2166,2166,1,24.0,mm/d,INA,,,
2167,2167,1,24.0,mm/d,INA,,,
2169,2169,1,24.0,mm/d,INA,,,
2170,2170,1,24.0,mm/d,INA,,,
2171,2171,1,24.0,mm/d,INA,,,
2173,2173,1,24.0,mm/d,INA,,,
2174,2174,1,24.0,mm/d,INA,,,
2182,2182,1,24.0,mm/d,INA,,,
2183,2183,1,24.0,mm/d,INA,,,
2184,2184,1,24.0,mm/d,INA,,,
2187,2187,1,24.0,mm/d,INA,,,
2188,2188,1,24.0,mm/d,INA,,,
2193,2193,1,24.0,mm/d,INA,,,
2194,2194,1,24.0,mm/d,INA,,,
2198,2198,1,24.0,mm/d,INA,,,
2200,2200,1,24.0,mm/d,INA,,,
2206,2206,1,24.0,mm/d,INA,,,
2209,2209,1,24.0,mm/d,INA,,,
2219,2219,1,24.0,mm/d,INA,,,
2227,2227,1,24.0,mm/d,INA,,,
2229,2229,1,24.0,mm/d,INA,,,
2606,2606,1,24.0,mm/d,INA,,,
2607,2607,1,24.0,mm/d,INA,,,
2609,2609,1,24.0,mm/d,INA,,,
2731,2731,1,24.0,mm/d,INA,,,
2732,2732,1,24.0,mm/d,INA,,,
2741,2741,1,24.0,mm/d,INA,,,
2749,2749,1,24.0,mm/d,INA,,,
2818,2818,1,24.0,mm/d,INA,,,
2820,2820,1,24.0,mm/d,INA,,,
2825,2825,1,24.0,mm/d,INA,,,
2840,2840,1,24.0,mm/d,INA,,,
2846,2846,1,24.0,mm/d,INA,,,
2848,2848,1,24.0,mm/d,INA,,,
2849,2849,1,24.0,mm/d,INA,,,
2856,2856,1,24.0,mm/d,INA,,,
2857,2857,1,24.0,mm/d,INA,,,
