STATION_ID,STATION_NAME,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_WATERINTAKE,THRESHOLD_NAVIGATION,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID,CHILD_ID
5876,Carabelas,44A3C23C8AE11F04FD09220CCDEC47D71A9FE3AA,435723334E47400E56AAD9E883BC3314709A48D9,24,metros,WHOS,,,,,,,,,,,,True,-34.05977,-58.835841,,,Argentina,INA,Rio Parana,AR_INA_5876,AR_INA_5876_WHO_24_H
2836,Aº Barrancas - Paso La Llana,C50E0AB9B7559E14B3D3406C985E406EE787F1F1,FA0286AB2DDFB8F9C8AC22DDF972FE0D16D77790,4,metros,WHOS,,,,,,,,,,,,True,-30.2172222222222,-59.3244444444444,,,Argentina,INA,Rio Parana,AR_INA_2836,AR_INA_2836_WHO_4_H
52,San Fernando,61E2F61769D326D7DC1544C1824AB5133EE45E76,435723334E47400E56AAD9E883BC3314709A48D9,24,metros,WHOS,,,,,,,,,,,,True,-34.4333333333,-58.55,,,Argentina,INA,Rio Parana,AR_INA_52,AR_INA_52_WHO_24_H
6508,Paraná - Puerto Rico,4ADF266926AE2C879AED9977DBEF6A18AAC3B8EB,FA0286AB2DDFB8F9C8AC22DDF972FE0D16D77790,4,metros,WHOS,,,,,,,,,,,,True,-26.7916666666667,-55.025,,,Argentina,INA,Rio Parana,AR_INA_6508,AR_INA_6508_WHO_4_H
2822,Pilcomayo - El Raúl,E830CDB01DC1A7F36411CCE089BEFA0C9DE2B54A,435723334E47400E56AAD9E883BC3314709A48D9,24,metros,WHOS,,,,,,,,,,,,True,-22.65,-62.2163888888889,,,Argentina,INA,Rio Paraguay,AR_INA_2822,AR_INA_2822_WHO_24_H
2671,Canal Finca Agropecuaria,7A9208DE3EF51986282586F27F28371C84BEFCBA,435723334E47400E56AAD9E883BC3314709A48D9,24,metros,WHOS,,,,,,,,,,,,True,-25.1608333333333,-64.1058333333333,,,Argentina,INA,Rio Parana,AR_INA_2671,AR_INA_2671_WHO_24_H
65,San Javier,670DBE1488487406B9BFA7BBC32FFE83EF34D28B,47BEF10439748057FFDEAC0E655B86E41E327C0B,744,metros,WHOS,,,,,,,,,,,,True,-27.8833333333333,-55.1333333333333,,,Argentina,INA,Rio Uruguay,AR_INA_65,AR_INA_65_WHO_744_H
76,Federación,74F7D8A3F6803DA40599EFD3EE853273E011C88B,435723334E47400E56AAD9E883BC3314709A48D9,24,metros,WHOS,,,,,,,,,,,,True,-30.993221,-57.914682,,,Argentina,INA,Rio Uruguay,AR_INA_76,AR_INA_76_WHO_24_H
58,Bermejo,F26B1575DF7CEEE1C4A22D52BA4B9BD4E4697846,47BEF10439748057FFDEAC0E655B86E41E327C0B,744,metros,WHOS,,,,,,,,,,,,True,-26.92629,-58.506205,,,Argentina,INA,Rio Paraguay,AR_INA_58,AR_INA_58_WHO_744_H
99,Gualeguaychú,47660627436A20DDC7D98444A4A3C7C3E58A3DEF,435723334E47400E56AAD9E883BC3314709A48D9,24,metros,WHOS,,,,,,,,,,,,True,-33.0144444444444,-58.5041666666667,,,Argentina,INA,Rio Uruguay,AR_INA_99,AR_INA_99_WHO_24_H
