,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN,PARENT_ID
0,7277,Iguazú - Pto. Iguazú,Iguazú-Pto.I,Iguazú - Pto. Iguazú,-25.5933333333333,-54.58,,,Argentina,INA,Rio Parana,AR_INA_7277
1,7205,CIRHBAS - PF EL CABURE,CIRHBAS-PFEL,CIRHBAS - PF EL CABURE,-27.4780555555556,-60.9980555555556,,,Argentina,INA,Rio Parana,AR_INA_7205
2,5876,Carabelas,Carabelas,Carabelas,-34.05977,-58.835841,,,Argentina,INA,Rio Parana,AR_INA_5876
3,7204,CIRHBAS - PF EL AGUARA,CIRHBAS-PFEL,CIRHBAS - PF EL AGUARA,-27.0722222222222,-60.0758333333333,,,Argentina,INA,Rio Parana,AR_INA_7204
4,7327,RMA05_URU - Paisaje Protegido ,RMA05_URU-Pa,RMA05_URU - Paisaje Protegido ,-25.8738888888889,-54.5513888888889,,,Argentina,INA,Rio Parana,AR_INA_7327
5,15,Ituzaingó,Ituzaingó,Ituzaingó,-27.5833333333333,-56.7,,,Argentina,INA,Rio Parana,AR_INA_15
6,1037,San Javier,SanJavier,San Javier,-27.869343,-55.129216,,,Argentina,INA,Rio Uruguay,AR_INA_1037
7,7186,CIRHBAS - LIM  RUTA PROVINCIAL 40-CANAL HIDROVIAL ,CIRHBAS-LIMR,CIRHBAS - LIM  RUTA PROVINCIAL 40-CANAL HIDROVIAL ,-29.1247222222222,-60.8397222222222,,,Argentina,INA,Rio Parana,AR_INA_7186
8,2822,Pilcomayo - El Raúl,Pilcomayo-El,Pilcomayo - El Raúl,-22.65,-62.2163888888889,,,Argentina,INA,Rio Paraguay,AR_INA_2822
9,20,Barranqueras,Barranqueras,Barranqueras,-27.4833333333333,-58.9333333333333,,,Argentina,INA,Rio Parana,AR_INA_20
10,7360,RMA11_PH - Pozo Hondo,RMA11_PH-Poz,RMA11_PH - Pozo Hondo,-27.1625,-64.4902777777778,,,Argentina,INA,Rio Parana,AR_INA_7360
11,7386,Tercero - Villa María,Tercero-Vill,Tercero - Villa María,-32.4219444444444,-63.2447222222222,,,Argentina,INA,Rio Parana,AR_INA_7386
12,76,Federación,Federación,Federación,-30.993221,-57.914682,,,Argentina,INA,Rio Uruguay,AR_INA_76
13,7358,RMA11_LM - Lamadrid,RMA11_LM-Lam,RMA11_LM - Lamadrid,-28.1944444444444,-65.1102777777778,,,Argentina,INA,,AR_INA_7358
14,2218,Cruz Alta,CruzAlta,Cruz Alta,-33.0063888888889,-61.7875,,,Argentina,INA,Rio Parana,AR_INA_2218
