,STATION_ID,STATION_NAME,STATION_SHORTNAME,TOOLTIP,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
0,0-76-4-58730001,GUARANI,GUARANI,GUARANI,-21.3556,-43.0503,,,Brazil,WHOS,
1,0-76-4-86060010,CGH CAMBARA BARRAMENTO,CGHCAMBARABA,CGH CAMBARA BARRAMENTO,-28.9489,-50.0556,,,Brazil,WHOS,
2,0-76-4-73335000,PCH ARVOREDO JUSANTE,PCHARVOREDOJ,PCH ARVOREDO JUSANTE,-27.0708,-52.4636,,,Brazil,WHOS,Rio Uruguay
3,0-76-4-60436186,RIO DESCOBERTO,RIODESCOBERT,RIO DESCOBERTO,-15.9311,-48.2575,,,Brazil,WHOS,Rio Parana
4,0-76-4-41192900,PCH CODORNA BARRAMENTO,PCHCODORNABA,PCH CODORNA BARRAMENTO,-20.1656,-43.8928,,,Brazil,WHOS,
5,0-76-4-64119000,UHE JURUMIRIM BURI,UHEJURUMIRIM,UHE JURUMIRIM BURI,-23.7986,-48.5867,,,Brazil,WHOS,Rio Parana
6,2212,Compuerta Alternativa Norte AD,CompuertaAlt,Compuerta Alternativa Norte AD,-34.2419444444444,-62.1211111111111,,,Argentina,INA,
7,0-76-4-66005100,PCH ALTO PARAGUAI JUSANTE,PCHALTOPARAG,PCH ALTO PARAGUAI JUSANTE,-14.4772,-56.3922,,,Brazil,WHOS,Rio Paraguay
8,0-76-4-58489000,PCH JOASAL BARRAMENTO,PCHJOASALBAR,PCH JOASAL BARRAMENTO,-21.7964,-43.2972,,,Brazil,WHOS,
9,0-76-4-60436300,BAIXO RIO DESCOBERTO,BAIXORIODESC,BAIXO RIO DESCOBERTO,-16.0081,-48.2719,,,Brazil,WHOS,Rio Parana
10,0-76-4-60229000,CGH CACHOEIRA DOS MACACOS MONTANTE,CGHCACHOEIRA,CGH CACHOEIRA DOS MACACOS MONTANTE,-19.6553,-47.4497,,,Brazil,WHOS,Rio Parana
11,19087,ITIQUIRA I,ITIQUIRAI,ITIQUIRA I,-17.0833333,-54.8333333,,,Brazil,SAR - Agência Nacional de Águas (ANA),Rio Paraguay
