STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_YELLOW,THRESHOLD_ORANGE,THRESHOLD_RED,THRESHOLD_MEAN,THRESHOLD_P05,THRESHOLD_P10,THRESHOLD_P90,THRESHOLD_P95,IMPORT,LATITUDE,LONGITUDE,ALTITUDE,TYPE,COUNTRY,ORGANIZATION,SUBBASIN
0-76-4-63001560,E0BE1E7F4CEBBEABEABC9B1D6464FBBF803CF33B,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-19.4764,-52.5397,,,Brazil,WHOS,Rio Parana
0-76-4-75188000,880827C2CDE69C29795477E076BB0CB6DA95A78D,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-28.5383,-53.8633,,,Brazil,WHOS,Rio Uruguay
0-76-4-58350001,0D967575300B274721DCC61A91C3891E83F27F1D,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-22.6625,-43.9567,,,Brazil,WHOS,
0-76-4-86306000,C936382164E6AD92798F51A9FC28188E148A863F,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-29.0133,-51.3675,,,Brazil,WHOS,
0-76-4-86879300,D62A11B2653C6DB5D26F22EC299A8C455A381D56,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-29.4733,-51.9622,,,Brazil,WHOS,
0-76-4-40100000,E39EDCAF01C5FB1D08599A22EDBE38EDB54E8832,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-19.2814,-45.2753,,,Brazil,WHOS,
0-76-4-76115400,48944B08873CCB54D4272E13977324252B4D9238,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-29.4017,-53.9408,,,Brazil,WHOS,Rio Uruguay
0-76-4-88150900,D4E4E93A850E295BA6401B0331DF8CDF93045122,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-32.8336,-52.6436,,,Brazil,WHOS,
0-76-4-60500100,EB34CFC8CD3408A5DAE4F8C8237ECB881E2176D2,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-16.7856,-47.8844,,,Brazil,WHOS,Rio Parana
0-76-4-61784500,0447C000E0774E9927389BC55EC6964528E72367,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-20.4375,-47.8906,,,Brazil,WHOS,Rio Parana
0-76-4-64501000,6D23B6E7F41F6D7D3266FA209B2A3F376D8C9163,AEAF735EBFC73611C8A50B6D0319BD4258B45918,24.0,millimetre,WHOS,,,,,,,,,True,-23.6372,-50.9233,,,Brazil,WHOS,Rio Parana
