,STATION_ID,EXTERNAL_LOCATION_ID,UNIT,IMPORT_SOURCE,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR
3,E3F2C7BB193AA1EB7A942FB36A05EF7A637A2BD9,E3F2C7BB193AA1EB7A942FB36A05EF7A637A2BD9,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
14,D062FDFD68EFF9C8CA1DCAF4F08094A40F3EFD14,D062FDFD68EFF9C8CA1DCAF4F08094A40F3EFD14,metre,WHOS,18B45DF252F7DA893176183AC320E03418ED5969,744.0
19,CF39878B438667DACE2C1DD0618C5DE51DC3CE7B,CF39878B438667DACE2C1DD0618C5DE51DC3CE7B,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
23,E6B35E1530137A84487275F1B56246268C78DA3A,E6B35E1530137A84487275F1B56246268C78DA3A,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
24,A2BA5EC26AEB210116C5AF1A2C2D00AED2B79E4F,A2BA5EC26AEB210116C5AF1A2C2D00AED2B79E4F,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
26,22318785AB024C4FC9DEDE34BF1A0C1C9516B118,22318785AB024C4FC9DEDE34BF1A0C1C9516B118,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
58,ABBBAE11321A801066127F04A1B529E975BA71D6,ABBBAE11321A801066127F04A1B529E975BA71D6,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
65,D72E4C7C36119D3899C5C78BD12ACD8D81B842FC,D72E4C7C36119D3899C5C78BD12ACD8D81B842FC,metre,WHOS,FA25FBBAD411D74E98BB9B663FA849BF03D0CEDE,744.0
98,3437B9EF80504B6A2526BF065B78AB9DAE4BD857,3437B9EF80504B6A2526BF065B78AB9DAE4BD857,metre,WHOS,18B45DF252F7DA893176183AC320E03418ED5969,744.0
112,2BCE48EE8CEBADAA5C3D6997132A775D1713A66D,2BCE48EE8CEBADAA5C3D6997132A775D1713A66D,metre,WHOS,18B45DF252F7DA893176183AC320E03418ED5969,744.0
123,870F443EB947EB840E5638F29FF67A0B637D02B0,870F443EB947EB840E5638F29FF67A0B637D02B0,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
126,32BD5DF53F6D1CCBE55E6AAD09A6E773519F89F9,32BD5DF53F6D1CCBE55E6AAD09A6E773519F89F9,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
131,317ECC87DECEDF9F8864FBC9C4EE7E2847D631D1,317ECC87DECEDF9F8864FBC9C4EE7E2847D631D1,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
139,ABC6820F1FD8D6A84344C355D804FE94F6F45975,ABC6820F1FD8D6A84344C355D804FE94F6F45975,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
142,092E0A78766AFF17973C1AAD46EB2C7354066409,092E0A78766AFF17973C1AAD46EB2C7354066409,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
150,9B3843DBBE8681B8C0CE90762C0ECC7D4EDA91CD,9B3843DBBE8681B8C0CE90762C0ECC7D4EDA91CD,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
159,9C1D34DD7CDF7894E4DF2A2D2D23F77503E76380,9C1D34DD7CDF7894E4DF2A2D2D23F77503E76380,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
186,FAD333220986E0B3CC710C036BD41E8CEB8D08D1,FAD333220986E0B3CC710C036BD41E8CEB8D08D1,metre,WHOS,435723334E47400E56AAD9E883BC3314709A48D9,24.0
191,55440480D43CFA16A866CB016705A37FCD6699C1,55440480D43CFA16A866CB016705A37FCD6699C1,metre,WHOS,435723334E47400E56AAD9E883BC3314709A48D9,24.0
253,67BA924BEC2AA3B691152B3FF05538C7D06A20E7,67BA924BEC2AA3B691152B3FF05538C7D06A20E7,metre,WHOS,E02E2A436A24C1DB98D819A4705B8089856A9579,
254,E8A8074C286FA07EF3BB59AF6EA36BDE0C909896,E8A8074C286FA07EF3BB59AF6EA36BDE0C909896,centimetre,WHOS,80B052462E277E0F7D3002CA6C67E481CD953CDC,
