,STATION_ID,EXTERNAL_LOCATION_ID,UNIT,IMPORT_SOURCE,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR
11,A1C5EB15A565C92B368B8F8D2EADE3F99D0F7CFD,A1C5EB15A565C92B368B8F8D2EADE3F99D0F7CFD,millimetre,WHOS,3E4D685B1B2B4A439738E82360E8541EC66BE7F4,
12,784F1CDB8A7F644C52CA30024A800C0898C454A6,784F1CDB8A7F644C52CA30024A800C0898C454A6,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
29,B048EF24C1F592C11B9569AD9CBEAEAAC69917A5,B048EF24C1F592C11B9569AD9CBEAEAAC69917A5,millimetre,WHOS,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0
46,CF0F7D00E52ABA8CE3A805758D5C5D94E8008692,CF0F7D00E52ABA8CE3A805758D5C5D94E8008692,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
63,44780CB21DAE6292D18DD64371E54E045D728D40,44780CB21DAE6292D18DD64371E54E045D728D40,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
77,9F103C140015CB932D37DAE9682F04AD0CD284ED,9F103C140015CB932D37DAE9682F04AD0CD284ED,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
83,F0464062584E43EB17C255E94A3EC3567AEE337A,F0464062584E43EB17C255E94A3EC3567AEE337A,millimetre,WHOS,7075721786F52D17847D1D6369D0F3E794795E5C,3.0
140,3E7DE88DCA0BF5C644BD1CBF13FD1F0FB79F2176,3E7DE88DCA0BF5C644BD1CBF13FD1F0FB79F2176,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
149,9D22D18CA44C7E00C88B36BB8BCB9D37A98B118F,9D22D18CA44C7E00C88B36BB8BCB9D37A98B118F,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
152,6F53FF146F2A57B0270CAF71FB2C916C3AAD22B8,6F53FF146F2A57B0270CAF71FB2C916C3AAD22B8,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
221,06B29CF798332C3E104C8AA6AB9C53425357956A,06B29CF798332C3E104C8AA6AB9C53425357956A,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
228,62962E0F62AF0A96E851E6DB1F86EC30EF5F54C8,62962E0F62AF0A96E851E6DB1F86EC30EF5F54C8,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
255,F5608A84BA34063E4635B8BDCD4723A7331FD569,F5608A84BA34063E4635B8BDCD4723A7331FD569,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
270,E203EFC3A6EB9960E8D55557CE869A667364EDC4,E203EFC3A6EB9960E8D55557CE869A667364EDC4,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
283,EE967DD7E1914FFB125B6A4691BE93E99F256F65,EE967DD7E1914FFB125B6A4691BE93E99F256F65,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
310,624CB89645472237E22D599F7554632C2E70916F,624CB89645472237E22D599F7554632C2E70916F,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
349,EE3FA196BCB23FA4A871ACBF13D498271DCA146A,EE3FA196BCB23FA4A871ACBF13D498271DCA146A,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
357,6BB3D36765682B56D0F5566690C4C51EFAE0E558,6BB3D36765682B56D0F5566690C4C51EFAE0E558,millimetre,WHOS,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0
375,18914B81B845A295E43D90169A8316F6809154AC,18914B81B845A295E43D90169A8316F6809154AC,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
409,1DC0C47372ECC8CF4121C707ABE5908E16050F37,1DC0C47372ECC8CF4121C707ABE5908E16050F37,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
436,F28B301F5C00898D8B2D2CB9060163C33189299F,F28B301F5C00898D8B2D2CB9060163C33189299F,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
438,570A4E75FD59E0331063C6BBC09934993E9D0D99,570A4E75FD59E0331063C6BBC09934993E9D0D99,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
447,F2698F35147D2B20F7EF43F45E9F84F38477EBE0,F2698F35147D2B20F7EF43F45E9F84F38477EBE0,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
476,4CB773867D2130509950CB4D2686A153C8CE6F19,4CB773867D2130509950CB4D2686A153C8CE6F19,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
500,84EF1293E14DCCAA114617BFB2DAAFCDF8F53980,84EF1293E14DCCAA114617BFB2DAAFCDF8F53980,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
685,D2D533F751E110A5D33323B7E5FA1DF7BFA1EEC1,D2D533F751E110A5D33323B7E5FA1DF7BFA1EEC1,millimetre,WHOS,7075721786F52D17847D1D6369D0F3E794795E5C,3.0
687,986E76E87E0F7E102A5EDFB6F95404AC65430D04,986E76E87E0F7E102A5EDFB6F95404AC65430D04,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
709,94584575C25596E22E2675E53A5029967D5890E5,94584575C25596E22E2675E53A5029967D5890E5,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
722,2AD41E6B86DB9A81025F62DAB24B7F4DB00ECD1B,2AD41E6B86DB9A81025F62DAB24B7F4DB00ECD1B,millimetre,WHOS,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0
724,AE838A06183EC08B0F9BC824A11F93A934BFC816,AE838A06183EC08B0F9BC824A11F93A934BFC816,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
731,1E80BFC7D5752D0BA0DAF14EC20B4ED71D88C391,1E80BFC7D5752D0BA0DAF14EC20B4ED71D88C391,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
760,B3FD5E036F11F47DE0245B293281CC8FDD007763,B3FD5E036F11F47DE0245B293281CC8FDD007763,millimetre,WHOS,4E47D870E717581F520F6C4EBE8E23962A880107,24.0
780,86EA748613FB6A8C49093F5194CEB3D6E1DE9331,86EA748613FB6A8C49093F5194CEB3D6E1DE9331,millimetre,WHOS,3E4D685B1B2B4A439738E82360E8541EC66BE7F4,
800,6DE1EEA752721A4FC03B63EC70F954905ED13E4E,6DE1EEA752721A4FC03B63EC70F954905ED13E4E,millimetre,WHOS,4E47D870E717581F520F6C4EBE8E23962A880107,24.0
828,89D6BA536A22E1B29AEDC64EC69517CC10555900,89D6BA536A22E1B29AEDC64EC69517CC10555900,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
834,6FCFF00DE3E0FB841A052D981CF22C62E6964A9F,6FCFF00DE3E0FB841A052D981CF22C62E6964A9F,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
843,A42ED9127C3679FCA8C66E062418BE8A2AEC7D30,A42ED9127C3679FCA8C66E062418BE8A2AEC7D30,millimetre,WHOS,3E4D685B1B2B4A439738E82360E8541EC66BE7F4,
879,BFC87EFB53D77B61FD979C6C299FBA0057FDA961,BFC87EFB53D77B61FD979C6C299FBA0057FDA961,millimetre,WHOS,4E47D870E717581F520F6C4EBE8E23962A880107,24.0
892,6640DE74329FFE939F71D366F7662275BFD62E5F,6640DE74329FFE939F71D366F7662275BFD62E5F,millimetre,WHOS,5C817E8F57D758E6F6BCECEDBFD9745F6DF894FC,1.0
932,0C592A3BB44A548302F9F3CE51B71A0E2C00E6CB,0C592A3BB44A548302F9F3CE51B71A0E2C00E6CB,millimetre,WHOS,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0
933,88B505974F8EF84A0AAC5A893D0F94514201F9CE,88B505974F8EF84A0AAC5A893D0F94514201F9CE,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
934,7F2533EF397303FE6E90212082C7ABE0A79C6A7A,7F2533EF397303FE6E90212082C7ABE0A79C6A7A,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
954,CF5416E46FF9A139B5010D1449F45A40E4728B0C,CF5416E46FF9A139B5010D1449F45A40E4728B0C,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
957,33BD2F8FDBDE0C6B04B1CB41BA5B4E1488A0B434,33BD2F8FDBDE0C6B04B1CB41BA5B4E1488A0B434,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
987,6B3060F2C1057D7CAE948F3E316810AF42A00491,6B3060F2C1057D7CAE948F3E316810AF42A00491,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
995,31F2622A49B8C30C684ED37BE27220ADDDB4FC02,31F2622A49B8C30C684ED37BE27220ADDDB4FC02,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
31,5C43EDB977E065E22DCC67D698371258DFF9C330,5C43EDB977E065E22DCC67D698371258DFF9C330,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
83,A9CE2B3A5AF69C2F31D65C31E3CA37D107BA5501,A9CE2B3A5AF69C2F31D65C31E3CA37D107BA5501,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
104,4DFC3316636E8B57FD720A76D9C03A98C71680FF,4DFC3316636E8B57FD720A76D9C03A98C71680FF,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
149,AC8AB90EF6258C06F123AB339388820EC6C4E3F3,AC8AB90EF6258C06F123AB339388820EC6C4E3F3,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
158,833118D6EC6B9B351D153B2EDEA9DD55ABF0FBA8,833118D6EC6B9B351D153B2EDEA9DD55ABF0FBA8,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
226,026A12451A5B9BD6E54B125B70500B786E8C57ED,026A12451A5B9BD6E54B125B70500B786E8C57ED,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
270,990CFC9220C68BFEC230C4FBB827B3A361E842BB,990CFC9220C68BFEC230C4FBB827B3A361E842BB,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
288,6343337B6598BF4BE865375DED308EA48258BCB3,6343337B6598BF4BE865375DED308EA48258BCB3,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
341,AC4293B24BDE7B349B223EFEFB7CA819DFDAD7F7,AC4293B24BDE7B349B223EFEFB7CA819DFDAD7F7,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
369,7D08EF459B3397766E45F9BBFE714B9F2B1C18D1,7D08EF459B3397766E45F9BBFE714B9F2B1C18D1,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
370,998747987960E2971D1D74CB1C2799D232C85469,998747987960E2971D1D74CB1C2799D232C85469,millimetre,WHOS,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0
391,FDE3481CD97E291DFB71FFF64A0692972F64DC99,FDE3481CD97E291DFB71FFF64A0692972F64DC99,millimetre,WHOS,4E47D870E717581F520F6C4EBE8E23962A880107,24.0
409,53AFFD25085940D792671B52DAF4EDCACC2B5CEA,53AFFD25085940D792671B52DAF4EDCACC2B5CEA,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
419,AAEC949FD70D16C0EF470721D4399FC674FAA2C8,AAEC949FD70D16C0EF470721D4399FC674FAA2C8,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
428,8A0BAD09D687A208CBAB19D65A2573016DBC0C50,8A0BAD09D687A208CBAB19D65A2573016DBC0C50,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
458,E8A363BD24877A003CCB0920945472A73D2FEB26,E8A363BD24877A003CCB0920945472A73D2FEB26,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
467,1E568E28666A41EB6BACAD43000E0993312D2CE5,1E568E28666A41EB6BACAD43000E0993312D2CE5,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
479,774F31A07B6B36FBF295F59C059132CEEC4CDDF1,774F31A07B6B36FBF295F59C059132CEEC4CDDF1,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
489,07A2E12FE47E6D44796C4D63225A700BABC835F0,07A2E12FE47E6D44796C4D63225A700BABC835F0,millimetre,WHOS,7075721786F52D17847D1D6369D0F3E794795E5C,3.0
505,D8C9EBE0E87A8FF04C16E774E72786533FA5DA1D,D8C9EBE0E87A8FF04C16E774E72786533FA5DA1D,millimetre,WHOS,7075721786F52D17847D1D6369D0F3E794795E5C,3.0
531,67417380023FB2427BEA42615B647CFACA585706,67417380023FB2427BEA42615B647CFACA585706,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
567,2CB65CB0E5FABC5D3CE99AF35C81F26C5FA30541,2CB65CB0E5FABC5D3CE99AF35C81F26C5FA30541,millimetre,WHOS,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0
650,6349BC73979A083EFBB1AB8D759591740B04CF04,6349BC73979A083EFBB1AB8D759591740B04CF04,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
667,F65CCE172F4322AF5F4504329FEBAF4F9C718D6A,F65CCE172F4322AF5F4504329FEBAF4F9C718D6A,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
697,605CB03F11833A238911BDA3993113BF5E58590F,605CB03F11833A238911BDA3993113BF5E58590F,millimetre,WHOS,7075721786F52D17847D1D6369D0F3E794795E5C,3.0
716,27B093EACC1DAC337E41B6901BFE45E683FD99A8,27B093EACC1DAC337E41B6901BFE45E683FD99A8,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
744,5C47D0C6EB4F21172B358F6794E5E0C3C69130FA,5C47D0C6EB4F21172B358F6794E5E0C3C69130FA,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
746,E8891A53D4257EE31FE02D29A49B6FFD910F362F,E8891A53D4257EE31FE02D29A49B6FFD910F362F,millimetre,WHOS,D2DB8BC2930F82D1E5EFA6B529F0262EB0FFE994,
756,304A999E7679F570BDD3DFBB3515B66AC649D64C,304A999E7679F570BDD3DFBB3515B66AC649D64C,millimetre,WHOS,7075721786F52D17847D1D6369D0F3E794795E5C,3.0
757,FF887BE101D32A1867ABF36C377A66F6364C2758,FF887BE101D32A1867ABF36C377A66F6364C2758,millimetre,WHOS,64E7218F9074369739F0B30C1E74C66B25930556,
760,A883C2DF83868DE3CBE83F0135848A0B72D58B5F,A883C2DF83868DE3CBE83F0135848A0B72D58B5F,millimetre,WHOS,B838A449A5FBC64CBB8A204A5CD614519EB0844A,24.0
