,STATION_ID,EXTERNAL_LOCATION_ID,UNIT,IMPORT_SOURCE,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR
30,BE1A02118FE99842BA0619D9E65CA1D600D32477,BE1A02118FE99842BA0619D9E65CA1D600D32477,cubic metres per second,WHOS,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,
47,DD7287DE57DFAD2B69C2D99C2B72BDA7450E952C,DD7287DE57DFAD2B69C2D99C2B72BDA7450E952C,cubic metres per second,WHOS,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,
49,D499B681A918E3F8DDAE578EF4100301FFC682C6,D499B681A918E3F8DDAE578EF4100301FFC682C6,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
141,9D19A3E8F359C608E3590801702190ECB95DD22A,9D19A3E8F359C608E3590801702190ECB95DD22A,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
179,96593E9EDDF3A37BC2F792652CAC39D17BE4482F,96593E9EDDF3A37BC2F792652CAC39D17BE4482F,cubic metres per second,WHOS,CEE1F03F85E1231A57C7E756527ED41B9C43820B,24.0
188,965FEE179F1F09FD52D489BFD415E54E0838679D,965FEE179F1F09FD52D489BFD415E54E0838679D,cubic metres per second,WHOS,472D1E733D426DC0A514D0BD6A2AAA7541CCEC3A,
205,51D52DB8DDEDC56EE2C51813C409A0CB5C15A940,51D52DB8DDEDC56EE2C51813C409A0CB5C15A940,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
217,C9B56E0C83BB07BA7BE6A4D3253CBFD345453FC6,C9B56E0C83BB07BA7BE6A4D3253CBFD345453FC6,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
223,38613F7159BC54ACBC186B6ABCE451129572D315,38613F7159BC54ACBC186B6ABCE451129572D315,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
251,60513B11A7A3BF1067DA24508A18A9BB54CF985B,60513B11A7A3BF1067DA24508A18A9BB54CF985B,cubic metres per second,WHOS,5C34E7D199E2643B1AA949D920942C576A406AB4,
